User_id,Film_id,Score_given
1,12,3
1,666,v3
1,5a0daaafaa70db3d0a1c5e1a,v
1,5a0daaafaa70db3d0a1c5e1e,v5
2,5a0daaafaa70db3d0a1c5e1e,v4
1,5a0daaafaa70db3d0a1c5e1d,v4
1,5a0daaafaa70db3d0a1c5e1c,v2
1,5a0daaafaa70db3d0a1c5e1b,v
3,5a0daaafaa70db3d0a1c5e1e,5
2,5a0daaafaa70db3d0a1c5e1d,3
2,5a0daaafaa70db3d0a1c5e1c,3
3,5a0daaafaa70db3d0a1c5e1e,5
5,5a0daaafaa70db3d0a1c5e1a,2
5,5a0daaafaa70db3d0a1c5e1a,5
5,5a0daaafaa70db3d0a1c5e1e,3
5,5a0daaafaa70db3d0a1c5e1d,3
3,5a0daaafaa70db3d0a1c5e1d,5
3,5a0daaafaa70db3d0a1c5e1b,2
3,5a0daaafaa70db3d0a1c5e1c,1
1,5a0daaafaa70db3d0a1c5e1c,1
